capacity,threshold,lru_hit_rate,lfu_hit_rate,smartedge_hit_rate,vs_lru,vs_lfu,admissions,rejected,evictions,cache_size,average_probability,average_expected_value
25,0.1,31.66,44.45,47.260000000000005,15.600000000000005,2.8100000000000023,2349,2925,2324,25,0.7462934889614067,2.1465476182061902
25,0.2,31.66,44.45,47.21,15.55,2.759999999999998,2301,2978,2276,25,0.7462934889614067,2.1465476182061902
25,0.3,31.66,44.45,47.19,15.529999999999998,2.739999999999995,2287,2994,2262,25,0.7462934889614067,2.1465476182061902
25,0.4,31.66,44.45,47.17,15.510000000000002,2.719999999999999,2277,3006,2252,25,0.7462934889614067,2.1465476182061902
25,0.5,31.66,44.45,47.17,15.510000000000002,2.719999999999999,2264,3019,2239,25,0.7462934889614067,2.1465476182061902
25,0.6,31.66,44.45,47.18,15.52,2.729999999999997,2210,3072,2185,25,0.7462934889614067,2.1465476182061902
25,0.7,31.66,44.45,46.88,15.220000000000002,2.4299999999999997,2081,3231,2056,25,0.7462934889614067,2.1465476182061902
25,0.8,31.66,44.45,46.75,15.09,2.299999999999997,1883,3442,1858,25,0.7462934889614067,2.1465476182061902
25,0.9,31.66,44.45,46.69,15.029999999999998,2.239999999999995,1487,3844,1462,25,0.7462934889614067,2.1465476182061902
50,0.1,47.29,57.010000000000005,59.3,12.009999999999998,2.289999999999992,1631,2439,1581,50,0.7462934889614067,2.1465476182061902
50,0.2,47.29,57.010000000000005,59.21999999999999,11.929999999999993,2.2099999999999866,1549,2529,1499,50,0.7462934889614067,2.1465476182061902
50,0.3,47.29,57.010000000000005,59.18,11.89,2.1699999999999946,1524,2558,1474,50,0.7462934889614067,2.1465476182061902
50,0.4,47.29,57.010000000000005,59.199999999999996,11.909999999999997,2.1899999999999906,1478,2602,1428,50,0.7462934889614067,2.1465476182061902
50,0.5,47.29,57.010000000000005,59.18,11.89,2.1699999999999946,1425,2657,1375,50,0.7462934889614067,2.1465476182061902
50,0.6,47.29,57.010000000000005,59.13,11.840000000000003,2.1199999999999974,1285,2802,1235,50,0.7462934889614067,2.1465476182061902
50,0.7,47.29,57.010000000000005,58.78,11.490000000000002,1.769999999999996,1062,3060,1012,50,0.7462934889614067,2.1465476182061902
50,0.8,47.29,57.010000000000005,58.48,11.189999999999998,1.4699999999999918,827,3325,777,50,0.7462934889614067,2.1465476182061902
50,0.9,47.29,57.010000000000005,57.85,10.560000000000002,0.8399999999999963,558,3657,508,50,0.7462934889614067,2.1465476182061902
75,0.1,54.89000000000001,62.94,64.61,9.719999999999992,1.6700000000000017,1453,2086,1378,75,0.7462934889614067,2.1465476182061902
75,0.2,54.89000000000001,62.94,64.42999999999999,9.539999999999985,1.4899999999999949,1307,2250,1232,75,0.7462934889614067,2.1465476182061902
75,0.3,54.89000000000001,62.94,64.34,9.449999999999996,1.4000000000000057,1253,2313,1178,75,0.7462934889614067,2.1465476182061902
75,0.4,54.89000000000001,62.94,64.25999999999999,9.369999999999983,1.3199999999999932,1174,2400,1099,75,0.7462934889614067,2.1465476182061902
75,0.5,54.89000000000001,62.94,64.25,9.359999999999992,1.3100000000000023,1041,2534,966,75,0.7462934889614067,2.1465476182061902
75,0.6,54.89000000000001,62.94,64.07000000000001,9.18,1.1300000000000097,852,2741,777,75,0.7462934889614067,2.1465476182061902
75,0.7,54.89000000000001,62.94,63.85999999999999,8.969999999999985,0.9199999999999946,627,2987,552,75,0.7462934889614067,2.1465476182061902
75,0.8,54.89000000000001,62.94,63.57000000000001,8.68,0.6300000000000097,463,3180,388,75,0.7462934889614067,2.1465476182061902
75,0.9,54.89000000000001,62.94,62.050000000000004,7.159999999999997,-0.8899999999999935,315,3480,240,75,0.7462934889614067,2.1465476182061902
100,0.1,59.540000000000006,65.85,68.11,8.569999999999993,2.260000000000005,1327,1862,1227,100,0.7462934889614067,2.1465476182061902
100,0.2,59.540000000000006,65.85,67.84,8.299999999999997,1.990000000000009,1125,2091,1025,100,0.7462934889614067,2.1465476182061902
100,0.3,59.540000000000006,65.85,67.65,8.11,1.8000000000000114,1030,2205,930,100,0.7462934889614067,2.1465476182061902
100,0.4,59.540000000000006,65.85,67.47,7.929999999999993,1.6200000000000045,908,2345,808,100,0.7462934889614067,2.1465476182061902
100,0.5,59.540000000000006,65.85,67.31,7.769999999999996,1.460000000000008,767,2502,667,100,0.7462934889614067,2.1465476182061902
100,0.6,59.540000000000006,65.85,67.01,7.469999999999999,1.1600000000000108,602,2697,502,100,0.7462934889614067,2.1465476182061902
100,0.7,59.540000000000006,65.85,66.53,6.989999999999995,0.6800000000000068,438,2909,338,100,0.7462934889614067,2.1465476182061902
100,0.8,59.540000000000006,65.85,65.88000000000001,6.340000000000003,0.030000000000015348,336,3076,236,100,0.7462934889614067,2.1465476182061902
100,0.9,59.540000000000006,65.85,64.21,4.6699999999999875,-1.6400000000000006,234,3345,134,100,0.7462934889614067,2.1465476182061902
150,0.1,66.86999999999999,70.96000000000001,72.1,5.230000000000004,1.1399999999999864,1326,1464,1176,150,0.7462934889614067,2.1465476182061902
150,0.2,66.86999999999999,70.96000000000001,71.67999999999999,4.810000000000002,0.7199999999999847,974,1858,824,150,0.7462934889614067,2.1465476182061902
150,0.3,66.86999999999999,70.96000000000001,71.37,4.500000000000014,0.4099999999999966,786,2077,636,150,0.7462934889614067,2.1465476182061902
150,0.4,66.86999999999999,70.96000000000001,71.07,4.200000000000003,0.10999999999998522,617,2276,467,150,0.7462934889614067,2.1465476182061902
